"","user_rating_ver","size_bytes","price","price_degree","avg_rating_count_ver","rating_count_ver","sup_devices_num","cont_rating","ipad_sc_urls_num","lang_num","vpp_lic","cont_rating_degree"
"70",5,36399104,0,"Low",41.6216216216216,1540,37,12,5,1,TRUE,"Middle"
"71",1,115143680,0,"Low",0.108108108108108,4,37,17,0,1,TRUE,"High"
"72",4.5,56481792,1.99,"Low",0.648648648648649,24,37,4,0,1,TRUE,"Low"
"73",4,181941248,0,"Low",58.4324324324324,2162,37,4,1,43,TRUE,"Low"
"74",4.5,162891776,0,"Low",18.4594594594595,683,37,4,5,1,TRUE,"Low"
"75",3.5,98108416,0,"Low",0.540540540540541,20,37,12,0,1,FALSE,"Middle"
"76",2.5,54088704,0.99,"Low",0.925,37,40,4,3,13,TRUE,"Low"
"77",4,50155520,1.99,"Low",1.7906976744186,77,43,4,5,1,TRUE,"Low"
"78",5,23936000,0,"Low",7.21052631578947,274,38,4,4,17,TRUE,"Low"
"79",4,145293312,0.99,"Low",24.906976744186,1071,43,9,5,1,TRUE,"Middle"
"80",5,140367872,0,"Low",12.5945945945946,466,37,4,0,17,TRUE,"Low"
"81",4,281244672,0,"Low",5.21621621621622,193,37,4,0,1,TRUE,"Low"
"82",2.5,66695168,1.99,"Low",2.525,101,40,4,5,1,TRUE,"Low"
"83",4.5,169747456,0,"Low",2.16216216216216,80,37,4,5,9,TRUE,"Low"
"84",4,41691136,1.99,"Low",0.027027027027027,1,37,9,3,15,TRUE,"Middle"
"85",0,122886144,0,"Low",0,0,37,4,0,1,TRUE,"Low"
"86",4.5,55803904,0.99,"Low",26.8604651162791,1155,43,4,4,1,TRUE,"Low"
"87",4,188956672,0,"Low",0.243243243243243,9,37,17,5,9,TRUE,"High"
"88",5,22185984,2.99,"Low",0.027027027027027,1,37,4,5,10,TRUE,"Low"
"89",4.5,66160640,3.99,"Low",0.108108108108108,4,37,4,0,1,TRUE,"Low"
"90",5,28135424,0.99,"Low",1.48648648648649,55,37,4,0,3,TRUE,"Low"
"91",4,27962441,0.99,"Low",52.9574468085106,2489,47,12,5,1,TRUE,"Middle"
"92",4,133238784,0,"Low",3.43243243243243,127,37,4,0,32,TRUE,"Low"
"93",4,151573504,0,"Low",24.8378378378378,919,37,17,5,16,TRUE,"High"
"94",5,27069440,1.99,"Low",0.0810810810810811,3,37,4,5,1,TRUE,"Low"
"95",2.5,101259264,0,"Low",1.54054054054054,57,37,17,5,10,TRUE,"High"
"96",4.5,168192000,2.99,"Low",0.27027027027027,10,37,4,5,4,TRUE,"Low"
"97",4,17485824,4.99,"Low",0.162162162162162,6,37,4,5,11,TRUE,"Low"
"98",2,5234688,0.99,"Low",0.27906976744186,12,43,4,0,1,TRUE,"Low"
"99",4.5,237913088,2.99,"Low",0.0810810810810811,3,37,4,0,9,TRUE,"Low"
"100",5,233513984,2.99,"Low",0.189189189189189,7,37,4,0,9,TRUE,"Low"
"101",4,110420992,0,"Low",2.2972972972973,85,37,12,5,10,TRUE,"Middle"
